optimal_gap,success
0,1
0,1
100,0
48.39,1
26.73,1
0,1
19.09,1
64.87,1
0,1
3.04,1
100,0
5.21,1
14.24,1
0,1
97.42,1
5.26,1
81.41,1
10.22,1
0,1
43.66,1
0,1
1.73,1
0,1
8.62,1
22.24,1
61.7,1
0,1
0,1
3.03,1
100,0
16.47,1
100,0
100,0
14.94,1
100,0
0,1
57.29,1
11.11,1
30.15,1
0,1
68.63,1
100,0
46.93,1
100,0
2.18,1
63.74,1
0,1
100,0
13.59,1
0,1
65.19,1
64.84,1
31.33,1
92.23,1
0.83,1
56.64,1
0,1
100,0
0,1
0,1
74.63,1
75.57,1
0,1
100,0
100,0
0.72,1
100,0
0,1
65.37,1
67.91,1
0,1
0,1
51.63,1
0,1
22.65,1
0.82,1
36.44,1
30.8,1
0,1
72.09,1
0,1
100,0
96.37,1
100,0
0,1
0,1
100,0
87.05,1
99.62,1
100,0
94.23,1
0,1
37.04,1
100,0
5.48,1
0,1
5.56,1
100,0
17.66,1
0,1
39.9459,0.81
