optimal_gap,success,objective_value
0,1,9.71764705880678
0,1,22
0,1,0.0174482006484338
0,1,0.811659681610482
0,1,3.14173609055826
0,1,9.79999999999984
0,1,0.176782807557169
100,0,-3.85469434149854E-13
0.52,1,4.67145179444315
4.41,1,3.38071675964013
34.51,1,0.0121576085138209
0,1,3.47181395996662
14.24,1,0.500864990062679
6.11,1,0.962133861950601
0,1,0.417673794209553
0,1,19
0,1,0.876703718277374
0,1,0.602854966451327
0,1,7.34695222404275
100,0,-1.00053298979219E-12
0,1,0.363917753697842
6.99,1,8.82875341219239
5.36,1,2.23373876816857
0,1,1.36898772583146
0,1,2.23848397482892
12.23,1,0.0433497536936645
0,1,9.96576086957069
0,1,12.6666666666745
3.92,1,1.34953545637964
18.85,1,0.0149861348749373
8.24,1,0.172470275981487
100,0,2.08610906327067E-13
0,1,0.520160419982377
83.12,1,0.0169105691030978
100,0,-3.16190129634464E-12
5.72,1,9.28169014083671
40.5,1,0.0635967825171529
0,1,3.7280958103507
0,1,0.414690129901794
0,1,13.4999999999999
0,1,0.195161938694815
19.62,1,0.0472073013730385
0,1,0.144876153165276
0,1,0.156653391284553
3.46,1,5.43306749581055
0,1,0.150106953573816
7.51,1,0.600304723209741
43.38,1,0.0164883437960094
0,1,0.855695876370487
2.94,1,9.42857142856946
0,1,0.502253652567446
0,1,1.17999014633058
0,1,2.20084695533503
0,1,0.192250672617702
0,1,3.63663663663663
0,1,0.195363060491279
6.91,1,7.52514956793963
8.19,1,0.0623638975147065
0,0,5.36193311972966E-12
0,1,3.10840836097509
0,1,0.0787349146912119
0,1,0.165958558743852
6.75,1,3.28481272164453
4.87,1,0.174807222029543
0,1,0.0333333333388319
0,1,1.86170934507107
0,1,0.13028377805416
0,1,13.0000000000001
1.15,1,0.267054300444971
0,1,0.153179557644122
0.69,1,0.219999999997423
0.25,1,5.21715540403968
0,1,0.478651475338321
0,1,0.435783413858406
0,1,0.657008472937978
0.82,1,7.92962158995357
0.2,1,1.06155812936643
1.25,1,0.247502318957412
0,1,11
0,1,0.0802238805851073
100,0,3.42814665543756E-12
28.56,1,0.170547469543883
0,1,0.732308196058007
0,1,0.554835198168154
0,1,11.9999999999925
1.54,1,4.42554427365187
36.51,1,0.0490209404615151
100,0,-5.34949862185385E-12
0,1,0.474720089742494
35.06,1,0.0669598869721715
6.05,1,0.207267974567994
0,1,5.59477335054411
7.46,1,0.520068375213029
0,1,0.686750345877593
0,1,4.99601554581347
0,1,1.82457576450529
0,1,18
0,1,0.148339734416991
3.47,1,0.556077128625238
34.97,1,3.63477572701153
11.0633,0.93,
