optimal_gap,success,objective_value
79.42,1,2
0,1,22
100,0,-48.5234460196291
0,1,0.811659681610482
0,1,3.14173609055826
57.14,1,4.2
7.55,1,0.163439275392722
100,0,-43.4018620588076
0.52,1,4.6714517944332
4.41,1,3.38071675964013
100,0,-41.4932906282325
1.79,1,3.40978901779347
23.36,1,0.447593040046892
6.11,1,0.962133861950601
30.44,1,0.290535839714412
47.37,1,10
15.76,1,0.738528638928901
0,1,0.602854966444461
72.78,1,2
100,0,-45.4195716085678
12.8,1,0.317340997862832
78.93,1,2
7.06,1,2.19373325052839
2.2,1,1.33883142999037
0,1,2.23848397482892
100,0,-46.5406896551725
39.79,1,6
57.89,1,5.33333333333333
3.92,1,1.34953545637964
100,0,-42.3639152752375
8.24,1,0.172470275966774
100,0,-47.5654137335635
41.18,1,0.305978949791172
100,0,-52.5144715447154
100,0,-38.122881654745
51.11,1,4.81338028169014
41.99,1,0.0619982451939229
11.11,1,3.3139646037035
0,1,0.414690129901794
25.93,1,10
26.7,1,0.143053070490021
59.75,1,0.0236409898063705
0,1,0.144876153160819
10.39,1,0.140378745759289
3.46,1,5.43306749581055
36.12,1,0.0958899080365505
7.51,1,0.600304723209741
100,0,-42.3894364525951
3.17,1,0.828535587732851
58.82,1,4
16.23,1,0.420760508880639
0,1,1.17999014633058
0,1,2.20084695532563
20.53,1,0.152790233724438
0,1,3.63663663663663
1.02,1,0.193368834777822
75.26,1,2
8.73,1,0.0619932354169315
0,0,-39.2356711324613
0,1,3.10840836097509
0,1,0.0787349146899707
53.59,1,0.0770176236607814
6.75,1,3.28481272164453
4.87,1,0.174807222029543
100,0,-46.35
2.02,1,1.82417443713416
50.91,1,0.0639559508679
23.08,1,10
7.14,1,0.250881507827522
0,1,0.153179557636509
4.17,1,0.212307692307697
4.17,1,5.01245424257293
0,1,0.478651475338321
5.38,1,0.412323005289016
0,1,0.657008472937978
74.99,1,2.00000000000002
0.2,1,1.06155812936643
25.74,1,0.186134528291522
27.27,1,8
25.58,1,0.0597014925373145
100,0,-56.2698961937718
53.08,1,0.112016553053405
1.09,1,0.724319085553699
33.25,1,0.370350794883791
33.33,1,8
1.54,1,4.42554427365187
100,0,-53.6001641383382
100,0,-44.8454068363368
6.89,1,0.442033458376514
69.42,1,0.0315304249052915
13.77,1,0.190231425581505
64.25,1,2
7.46,1,0.520068375213029
43.62,1,0.387214970802283
0,1,4.99601554581347
10.62,1,1.63074157447644
27.78,1,13
43.58,1,0.0837006278255288
7.6,1,0.53223462927644
64.22,1,2
32.5385,,
