0.9,success,objective_value
36.7,1,0.0240754298789911
11.18,1,0.0957788587357166
0,1,0.459402737843381
100,0,-0.00149407556593496
0,1,0.342246695542945
43.52,1,0.0509322124078163
8.77,1,0.383442225370313
6.15,1,11.8518690015144
1.48,1,8.77543329302681
0,1,0.885148124411378
21.64,1,0.0932298117345284
14.67,1,0.170726576776091
0,1,2.7684519928344
1.76,1,0.45457194360595
100,0,2.57682764015499E-12
44.24,1,0.0131777688517049
0,1,0.128274401429932
0.38,1,3.4312620024797
100,0,-7.09232672591043E-12
0,1,0.323927282263556
0,1,0.880198315763575
100,0,-4.40880665308896E-12
0,1,1.81686871306139
1.57,1,3.02024011559758
0,1,0.159250157644799
0,1,1.54315508994648
100,0,-0.000814256017369286
0,1,7.46804332187232
8.04,1,0.0164711131786701
0,1,1.0548259892538
0,1,2.48359760551543
10.35,1,8.78806178512985
29.95,1,0.0263774487992144
4.34,1,5.20385445267348
13.69,1,0.394423930540843
0,1,0.0771808257518102
100,0,-0.0209518707907153
4.12,1,3.04872318828733
11.44,1,0.716349613003299
100,0,3.32266159031036E-12
15.73,1,0.111587676743793
0,1,0.530084541841686
27.21,1,0.0496510357408813
0,1,0.386541768602504
0,1,0.44403756644591
0,1,0.46536622360926
0.13,1,3.71392839283664
13.99,1,6.11913064840599
0,1,0.0955463964548253
100,0,-0.00509532901085252
5.42,1,0.492996437648923
28.05,1,0.0544290115262278
6.65,1,0.0507921639580192
5.26,1,18
100,0,4.32240354619751E-12
0,1,0.438093042487358
2.75,1,16.0238095237971
0.86,1,1.98717241573389
0,1,0.0214483122727573
0,1,19.9999999999951
0,1,0.144107440401907
0,1,0.0719224306606048
38.79,1,0.0298965268573575
0,1,0.223168944183981
0,1,1.37854397051674
10.44,1,0.585744737855535
0,1,4.24764990288848
0,1,0.40084787435415
0,1,0.694073322420909
4.97,1,0.765056097457181
3.78,1,4.17804496797752
0,1,0.961187993525311
2.25,1,0.147460452530563
15.61,1,2.72857561440855
0,1,0.172413197921356
22.87,1,0.222771853974972
0,1,4.24482879516006
0.62,1,11.9021031390742
100,0,-0.00355013653714131
0,1,0.0609619463788178
0,1,1.3341070995828
0,1,0.111716921989661
84.36,1,0.00120907843161833
0,1,0.33466590018982
0,1,0.827358635123969
0,1,3.37911863092345
11.82,1,0.405513254009591
0,1,0.796555595938301
7.65,1,0.226401443783946
14.35,1,0.150011496648947
8.71,1,14.2556390977388
0,1,0.841058318697979
3.39,1,2.93381019918515
0,1,0.0347264449488838
32.69,1,0.0291164542619418
51.81,1,0.00397152659836042
78.32,1,0.00124181522714106
2.08,1,10.4308755760369
54.64,1,0.00581152204746394
0,1,0.497278758127849
18.2919,0.9,
