optimal_gap,success,objective_value
100,0,0
72,1,0.0251406109333345
100,0,2.22044604925031E-16
93.75,1,0.0416666666666634
60.18,1,0.0237163666115023
0,1,0.0591715976331333
66.37,1,0.243480254764647
78.06,1,0.363914640545747
63.14,1,0.426321025333943
38.88,1,2.50019860789944
0,1,3.38844402769975
100,0,-4.44089209850063E-16
66.5,1,0.157148654090233
0,1,0.193423597678919
87.04,1,0.117647058823528
10,1,0.0414746543778808
22.5,1,0.379901960784325
75.74,1,0.0311817731981794
0,0,-4.44089209850063E-16
57.83,1,0.469798657718123
0,0,0
74.14,1,2
33.53,1,0.7022761699151
88.23,1,0.14905076073785
4.49,1,3.87080675978672
74.36,1,1.99999999999999
60.43,1,0.0341602677692521
100,0,-4.44089209850063E-16
0,1,3.49460853258322
53.85,1,0.101694915254194
5.75,1,5.01163939303768
64.33,1,0.0717225161669717
87.41,1,2
0,1,0.052631578947361
100,0,2.22044604925031E-16
74.43,1,0.0284440670770554
76.47,1,0.258064516129035
82.61,1,0.0268456375838806
100,0,0
16.67,1,0.714285714285713
33.33,1,4
95,1,1
0,1,0.373853211009175
0,1,4.18181818181819
88.83,1,0.0444197667962349
36.17,1,0.100648920672732
29.71,1,2.39891281622413
93.54,1,0.0265801325665747
76.51,1,0.0457177081253697
92.31,1,2
45.39,1,2.28587830080367
81.82,1,2
57.14,1,3
23.6,1,0.0543565147881626
11.11,1,4.60664053045991
43.92,1,8.73684210526315
14.78,1,4
97.41,1,0.24102594479328
27.49,1,1.27673333763159
33.33,1,4
6.85,1,4.43159463487333
14.29,1,12
0,1,2.61300384294506
17.83,1,2.43439135868616
85.64,1,0.104028222167532
0,1,1.68579575599921
27.82,1,0.159409020217735
50,1,4
100,0,0
100,0,-1.77635683940025E-15
6.67,1,2.8
100,0,0
6.65,1,0.847346938775527
28.23,1,2.87096774193548
51.85,1,4.00000000000001
72.64,1,1.99999999999999
52.33,1,0.715964208061552
24.21,1,2.14395611125621
82.3,1,0.944977337409087
47.04,1,0.643265394155074
61.17,1,0.0517464424321013
86.11,1,0.0367647058823497
73.87,1,0.0317419880776608
63.51,1,0.151685393258415
45.3,1,0.202040816326548
0,1,0.398026315789476
92.82,1,0.0284072326309381
14.89,1,1.10013089005235
0,1,3.28938867152343
76.92,1,3
100,0,0
55.26,1,2
100,0,-5.77315972805081E-15
76.97,1,0.25084283653884
71,1,0.534930139720562
79.05,1,0.0587224157955895
63.64,1,2
12.39,1,3.02866779089376
0,1,4
82.5,1,0.0669856459330127
51.9983,,
