optimal_gap,success
2.18,1
0,1
100,1
48.18,1
33.77,1
0,1
17.74,1
100,0
1.73,1
15.9,1
100,1
34.28,1
16.2,1
18.67,1
100,1
5.26,1
87.66,1
44.88,1
0,1
54.93,1
66.79,1
3.17,1
13.9,1
50.39,1
46.62,1
100,0
4.94,1
0,1
25.07,1
100,1
32.81,1
100,1
100,1
37.66,1
100,0
0,1
87.58,1
11.28,1
62.79,1
3.7,1
68.63,1
100,0
54.1,1
100,1
3.51,1
94.65,1
0,1
100,0
53.43,1
0,1
100,0
70.88,1
51.83,1
100,1
5.24,1
98.56,1
2.74,1
100,1
-Inf,1
0,1
61.95,1
100,1
22.38,1
100,0
100,1
7.27,1
100,0
0,1
100,0
100,1
0.69,1
17.57,1
67.62,1
60.77,1
0,1
7.78,1
40.27,1
100,1
0,1
72.09,1
100,0
100,1
100,0
100,0
0,1
2.76,1
100,1
100,0
100,1
100,1
100,1
0,1
9.61,1
100,1
0,1
20.8,1
0,1
100,1
22.51,1
0,1
50.9668686868687,
