s_hat,z,rhs,violation
"[[45], [3, 6, 7, 12, 17, 24, 34, 39, 40, 45, 49], [2, 3, 6, 7, 8, 10, 12, 15, 17, 22, 24, 27, 34, 37, 39, 40, 41, 44, 45, 47, 49, 50, 51], [3, 4, 5, 6, 7, 9, 10, 12, 17, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 39, 40, 42, 45, 46, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51]]","[2.0, 3.599999999999997, 5.600000000000001, 7.200000000000001, 9.599999999999998]","[2, 4, 6, 8, 10]","[0.0, 0.400000000000003, 0.3999999999999986, 0.7999999999999989, 0.40000000000000213]"
"[[45], [2, 6, 8, 11, 14, 18, 25, 26, 27, 30, 31, 34, 35, 36, 37, 38, 45, 48, 49, 50], [2, 4, 5, 6, 8, 9, 11, 12, 14, 15, 17, 18, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 45, 48, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]]","[1.9999999999999996, 3.000000000000001, 5.000000000000001, 8.0]","[2, 4, 6, 8]","[4.440892098500626e-16, 0.9999999999999991, 0.9999999999999991, 0.0]"
"[[45], [12, 18, 27, 31, 44, 45, 48, 50], [5, 12, 14, 18, 25, 26, 27, 31, 36, 42, 44, 45, 48, 50, 51], [2, 3, 7, 8, 16, 17, 18, 20, 21, 24, 26, 27, 29, 30, 31, 33, 34, 35, 36, 43, 44, 45, 47, 49, 50], [2, 3, 5, 7, 8, 12, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 30, 31, 34, 35, 36, 37, 38, 39, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 6.000000000000002, 7.950103950103968, 10.0, 11.958419958419952]","[2, 4, 6, 8, 10, 12]","[0.0, 0.0, -1.7763568394002505e-15, 0.04989604989603169, 0.0, 0.04158004158004758]"
"[[45], [2, 4, 5, 6, 10, 12, 14, 17, 19, 26, 32, 35, 42, 48, 51], [3, 4, 6, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 28, 29, 30, 32, 33, 34, 35, 36, 37, 39, 44, 45, 46, 47, 48, 50, 51], [2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.435897435897436, 8.000000000000002]","[2, 4, 6, 8]","[0.0, 0.0, 0.5641025641025639, -1.7763568394002505e-15]"
"[[45], [5, 10, 12, 17, 26, 27, 32, 34, 38, 40, 44, 48], [4, 9, 11, 15, 16, 18, 19, 20, 21, 22, 33, 35, 37, 42, 43, 45, 49, 50], [4, 5, 9, 10, 11, 12, 15, 16, 18, 19, 20, 21, 22, 24, 32, 33, 35, 36, 37, 39, 41, 42, 43, 44, 45, 49, 50, 51], [2, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51]]","[2.0, 2.953488372093025, 4.767441860465115, 5.767441860465115, 7.651162790697679]","[2, 4, 6, 8, 10]","[0.0, 1.046511627906975, 1.232558139534885, 2.232558139534885, 2.348837209302321]"
"[[45], [3, 6, 7, 8, 10, 11, 12, 14, 17, 20, 21, 22, 23, 25, 26, 27, 29, 32, 34, 35, 36, 37, 39, 40, 44, 48, 49, 50, 51], [3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51]]","[2.0, 3.9999999999999996, 5.799999999999999]","[2, 4, 6]","[0.0, 4.440892098500626e-16, 0.20000000000000107]"
"[[45], [4, 5, 6, 10, 14, 15, 17, 21, 23, 26, 29, 32, 33, 34, 35, 44, 47, 48, 51], [3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 28, 29, 30, 32, 33, 34, 35, 37, 39, 44, 45, 47, 48, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.142857142857143, 3.7142857142857135, 8.0]","[2, 4, 6, 8]","[0.0, 0.8571428571428572, 2.2857142857142865, 0.0]"
"[[45], [4, 5, 6, 8, 13, 14, 17, 19, 26, 27, 29, 30, 32, 35, 36, 39, 41, 42, 44, 50], [2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 4.0, 5.913043478260869]","[2, 4, 6]","[0.0, 0.0, 0.08695652173913082]"
"[[4, 5, 12, 14, 18, 25, 27, 31, 37, 41, 44, 45, 48, 50, 51], [5, 12, 14, 18, 25, 27, 31, 41, 44, 45, 48, 50, 51], [4, 5, 9, 12, 14, 18, 19, 25, 27, 31, 37, 38, 39, 41, 44, 45, 48, 50, 51], [4, 5, 8, 9, 12, 14, 18, 19, 25, 27, 29, 31, 34, 37, 38, 39, 41, 44, 45, 48, 50, 51], [3, 4, 5, 7, 8, 9, 11, 12, 14, 18, 19, 21, 25, 26, 27, 29, 30, 31, 34, 36, 37, 38, 39, 41, 43, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 21, 22, 23, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[1.0, 1.0, 1.0, 3.0, 4.0, 8.0]","[6, 4, 6, 8, 10, 12]","[5.0, 3.0, 5.0, 5.0, 6.0, 4.0]"
"[[45], [3, 7, 9, 14, 15, 17, 24, 26, 29, 30, 32, 33, 35, 36, 43, 45, 49, 50], [3, 6, 7, 9, 13, 14, 15, 17, 22, 24, 26, 27, 28, 29, 30, 32, 33, 35, 36, 37, 42, 43, 45, 47, 49, 50], [3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.999999999999999, 5.972972972972973, 8.000000000000002]","[2, 4, 6, 8]","[0.0, 8.881784197001252e-16, 0.027027027027027195, -1.7763568394002505e-15]"
"[[45], [8, 12, 23, 24, 28, 31, 33, 37, 39, 47], [3, 5, 8, 12, 13, 22, 23, 24, 28, 31, 33, 34, 37, 39, 41, 47, 49], [3, 5, 6, 8, 12, 13, 14, 19, 21, 22, 23, 24, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 33, 34, 36, 37, 39, 41, 44, 45, 46, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[1.9999999999999998, 3.352380952380953, 5.066666666666666, 6.533333333333335, 8.476190476190473, 10.438095238095238, 14.000000000000007]","[2, 4, 6, 8, 10, 12, 14]","[2.220446049250313e-16, 0.6476190476190471, 0.9333333333333336, 1.466666666666665, 1.5238095238095273, 1.5619047619047617, -7.105427357601002e-15]"
"[[45], [8, 12, 24, 30, 31, 33, 37, 39, 47, 50], [8, 12, 14, 17, 20, 21, 23, 24, 28, 29, 30, 31, 33, 36, 37, 39, 47, 50], [2, 4, 7, 8, 12, 14, 17, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 33, 36, 37, 39, 44, 45, 47, 50], [3, 5, 6, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.5098765432098773, 5.269135802469133, 7.006172839506172, 8.802469135802466, 10.822222222222223, 13.999999999999998]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 0.4901234567901227, 0.7308641975308667, 0.9938271604938276, 1.1975308641975335, 1.1777777777777771, 1.7763568394002505e-15]"
